TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Target
-0.9705457776964133,680,1,36,0,1.4198617381496486,0,-0.5483933775337999,-0.2046294076264745,-0.0003151297671230473,105,1
0.2689630980830924,1178,1,15,0,1.307715254857371,0,0.3079597138762569,-0.2046294076264745,2.2183807457903577,192,2
-0.5865256317280008,1262,1,23,2,-1.439873585803431,3,-0.9052071656213235,-0.2046294076264745,-1.0240913595486316,41,2
-0.3872937895103424,818,1,33,2,-1.0473608942804593,3,-1.347656262849853,-0.2046294076264745,0.8866936524759148,163,1
-0.7033745424531488,635,1,28,0,-1.4959468274495697,3,0.7504088111047863,-0.2046294076264745,-1.111505416232241,13,1
-0.9945384802208211,306,0,39,0,-0.4305552361729324,0,0.27941461082925506,-0.2046294076264745,2.1049146470276483,226,1
-0.43206191347885253,837,0,16,1,1.251642013211232,2,2.448842442401399,-0.2046294076264745,-0.5945803508242731,271,2
-0.6551837790375048,557,0,11,1,0.35447014687301104,1,-0.47703061991629514,-0.2046294076264745,1.0216828999591487,290,1
1.773966115776767,610,1,26,0,0.5787631134575663,0,0.008236131882737053,-0.2046294076264745,-1.049871411431692,9,1
-0.9579162381364895,516,0,0,2,0.41054338851914984,1,-0.8623895110508207,-0.2046294076264745,0.6379149971290198,22,1
-0.36840081976216377,234,1,22,2,-1.3277271025111534,3,0.7646813626282872,-0.2046294076264745,-0.9197959490938808,49,1
0.6737928918900782,1037,0,23,1,-1.159507377572737,3,-0.12021683182877146,-0.2046294076264745,-0.8963919625082934,135,2
1.6569118466847907,2173,1,22,0,-1.0473608942804593,3,0.051053786453239894,-0.2046294076264745,-1.2634068088295642,43,0
-0.4472242062296552,283,1,21,2,-1.4959468274495697,3,0.20805185321175032,-0.2046294076264745,-1.235119828441502,226,1
0.5742967631618986,2354,1,10,0,-0.4866284778190712,1,0.13668909559424558,-0.2046294076264745,-0.4228416355328183,355,0
0.8835322372104373,2031,0,2,1,-1.439873585803431,3,0.550593089775773,-0.2046294076264745,-1.021805102334756,72,0
0.6683508951691355,2367,1,8,2,-0.31840875288065473,1,1.635307005561845,-0.2046294076264745,-0.0008899015021489268,327,0
-0.954835862634069,353,0,0,1,0.8030560800421215,2,-0.1915795894462762,-0.2046294076264745,0.7274279970235721,337,1
-0.7741204998254043,1050,0,8,2,-1.4959468274495697,3,0.7075911565342834,-0.2046294076264745,0.37338400391906984,177,2
-0.8157397955025515,413,1,20,1,1.4759349797957872,2,-1.1621130930443406,-0.2046294076264745,0.16356666118214688,181,1
-0.7252109821258625,1479,1,19,1,-0.37448199452679354,0,-0.3771227592517885,-0.2046294076264745,1.0347820504382,110,2
-0.8401089883661441,1029,1,1,2,-0.31840875288065473,1,0.008236131882737053,-0.2046294076264745,0.9908376721611724,38,2
0.16491485889022478,802,1,13,2,-1.2716538608650145,3,0.32223226539975786,3.1603875177866594,-0.9522064034917048,41,1
-0.5206398223706753,436,1,33,2,-1.3277271025111534,3,-0.33430510468128566,-0.2046294076264745,-0.8166064610400058,46,1
-0.9931351980474963,1979,0,15,2,1.1394955299189544,2,2.234754169548885,-0.2046294076264745,-0.37944380359311447,201,0
-0.17361840882577925,707,1,24,0,-1.2155806192188758,3,0.550593089775773,6.525404443199792,-1.1393023010783838,314,1
-0.8807699449980937,601,1,25,1,-0.4305552361729324,1,-0.34857765620478665,-0.2046294076264745,-0.6227339020595613,335,1
